summonerName,overallScore,totalGamesPlayed
Gbunny1,41.30912842,101
100 Goo,50.45213561,122
Soju,54.02973612,236
Ethereal3,60.53060416,95
Mu Bu Zhuan Jing,51.78946706,23
Cody Done,71.39070373,23
EG Shiro,69.4107365,35
Never Casual,51.54436127,31
Kunai Kunt,44.49569759,12
K6 or Dodge,55.08575509,36
Prototype G0d,73.21830077,21
Haseeb,67.04693191,41
I Am Tragic HaHa,45.91042541,67
Frenžy,57.22855879,29
BEST POUTINE QC,44.44842647,237
checca,42.48850562,191
100 Young,53.11396704,63
Yung Fap,66.27729419,117
ONLY LP MATTERS,48.78748279,40
C9 Fudgey,54.22945248,99
Griffin1,48.72670526,141
ANTHONY EVELYNN,38.0644032,282
Kingicepop,60.82394383,110
1uck,48.89662235,88
karmaismymental,49.99490299,61
Mediocre Boi,61.79903692,36
25-Feb,62.84695406,36
Li Daiłin,56.0532456,145
blaberfish2,50.02243719,582
Shogolol,68.70766622,234
V1bez,92.33069255,3
YouLookYummyÃ,46.42675452,46
lnfallible,50.25617719,215
U SawCon,43.90447936,61
Paradoxy,64.33180913,11
Ruthlèss King,49.85630706,16
A SAD FK,47.57378484,16
cob68,40.04659788,64
MistyStumpey,74.51110461,64
BE Han Jae,65.85967536,22
BE Hollywood,50.27324193,65
Emoções,51.70710936,94
NON RACIST GAMER,62.71052808,37
Stretfa,40.6437022,79
haebaragi,53.36680598,37
timmyboi12,41.56775059,75
Stabsie,69.07133725,32
Abyssions,62.23220181,3
Muslim Salesman,52.17731276,10
ItCouldBeYaBoy,41.7696008,23
april kim,24.2081346,4
FudoMyoo,67.89512772,87
M0WN,48.09850261,24
DeadlyTwitches,55.06381512,28
Laceration,69.62948784,640
Fikuwu,42.43850321,37
Radiance Hai,48.05166303,32
Eain,66.43254909,93
Spawn1,69.28908516,150
NegIect,40.43147232,25
o0OepicO0o,51.29605092,81
SSJ2GohanTop ,54.4419235,128
Fika,50.12696793,59
Lobozz,75.22387141,171
BE Hunter,47.547709,65
EnIuna,53.07089162,21
iamlovelypeaches,46.07483838,102
UWO Chim,56.79936048,419
Xeno,61.13787763,95
BunBeau GrandKid,41.6028525,87
Hafu Jr,45.52644344,80
act0r,47.65138025,231
Heavenly Daggers,49.67393171,136
DippyDan,80.57362831,134
oy to ne vecher,53.41407287,52
IceCreamPaintJob,56.96045447,78
warcyclone,61.66156136,576
Slapper Gapper,41.88901977,68
Trespass,63.05767829,43
Kenas,64.16380723,221
jamican banana,47.67069316,356
discord io tclb,43.6883304,72
I Shadow I,69.01087303,53
LL Justice,53.99220567,17
Dumtrobo,85.92782148,2
CR Sheherher,74.38608413,31
Kakeru Kurahara,36.84539763,3
xiao ke ai zz,41.07901224,6
Little Pawn,47.74549145,39
O hide on bush O,45.42393804,317
CASHMONEYMACHINE,56.3392662,40
777 XIAOMOMEMEDA,40.58527087,26
Dà Biàn Shòu,58.88919747,38
Extreme Person,48.22423387,228
Vínyqq,67.83050126,44
Split,62.17282008,195
KatEvolved,53.03765704,230
Saiyans,51.05589453,418
Manco,69.14950106,122
Lyo,57.62117749,53
Paain,66.38440447,64
Naracid,39.39586039,113
CR Juler,60.9593189,12
